"sender" "receiver" "channel" "packetnum" "rssi"
0 12 20 6 -68
0 12 20 7 -68
0 12 20 8 -68
0 12 20 9 -68
0 12 20 10 -68
0 12 21 1 -67
0 12 21 2 -67
0 12 21 3 -67
0 12 21 4 -67
0 12 21 5 -67
0 12 21 6 -67
0 12 21 7 -67
0 12 21 8 -67
0 12 21 9 -67
0 12 21 10 -67
0 12 22 1 -76
0 12 22 2 -77
0 12 22 3 -77
0 12 22 4 -76
0 12 22 5 -76
0 12 22 6 -77
0 12 22 7 -77
0 12 22 8 -77
0 12 22 9 -77
0 12 22 10 -76
0 12 23 1 -81
0 12 23 2 -82
0 12 23 3 -81
0 12 23 4 -82
0 12 23 5 -81
0 12 23 6 -82
0 12 23 7 -81
0 12 23 8 -82
0 12 23 9 -81
0 12 23 10 -81
0 12 24 1 -62
0 12 24 2 -62
0 12 24 3 -62
0 12 24 4 -62
0 12 24 5 -62
0 12 24 6 -62
0 12 24 7 -62
0 12 24 8 -62
0 12 24 9 -62
0 12 24 10 -62
0 12 25 1 -66
0 12 25 2 -66
0 12 25 3 -66
0 12 25 4 -66
0 12 25 5 -66
0 12 25 6 -66
0 12 25 7 -66
0 12 25 8 -66
0 12 25 9 -66
0 12 25 10 -66
0 12 26 1 -66
0 12 26 2 -66
0 12 26 3 -66
0 12 26 4 -66
0 12 26 5 -66
0 12 26 6 -66
0 12 26 7 -66
0 12 26 8 -66
0 12 26 9 -66
0 12 26 10 -66
0 3 11 1 -78
0 3 11 2 -78
0 3 11 3 -78
0 3 11 4 -78
0 3 11 5 -78
0 3 11 6 -78
0 3 11 7 -78
0 3 11 8 -78
0 3 11 9 -78
0 3 11 10 -78
0 3 12 1 -70
0 3 12 2 -70
0 3 12 3 -70
0 3 12 4 -70
0 3 12 5 -70
0 3 12 6 -70
0 3 12 7 -70
0 3 12 8 -70
0 3 12 9 -70
0 3 12 10 -70
0 3 13 1 -70
0 3 13 2 -70
0 3 13 3 -70
0 3 13 4 -70
0 3 13 5 -70
0 3 13 6 -70
0 3 13 7 -70
0 3 13 8 -70
0 3 13 9 -70
0 3 13 10 -70
0 3 14 1 -78
0 3 14 2 -78
0 3 14 3 -78
0 3 14 4 -78
0 3 14 5 -78
0 3 14 6 -78
0 3 14 7 -78
0 3 14 8 -78
0 3 14 9 -78
0 3 14 10 -78
0 3 15 1 -69
0 3 15 2 -69
0 3 15 3 -69
0 3 15 4 -69
0 3 15 5 -69
0 3 15 6 -69
0 3 15 7 -69
0 3 15 8 -69
0 3 15 9 -69
0 3 15 10 -69
0 3 16 1 -68
0 3 16 2 -68
0 3 16 3 -68
