"sender" "receiver" "channel" "packetnum" "rssi"
0 2 11 37 -68
0 2 11 38 -48
0 2 11 39 -66
0 2 11 40 -54
0 2 12 1 -63
0 2 12 2 -53
0 2 12 3 -53
0 2 12 4 -51
0 2 12 5 -56
0 2 12 6 -48
0 2 12 7 -51
0 2 12 8 -55
0 2 12 9 -49
0 2 12 10 -48
0 2 12 11 -57
0 2 12 12 -52
0 2 12 13 -57
0 2 12 14 -54
0 2 12 15 -55
0 2 12 16 -48
0 2 12 17 -47
0 2 12 18 -54
0 2 12 19 -47
0 2 12 20 -54
0 2 12 21 -51
0 2 12 22 -51
0 2 12 23 -57
0 2 12 24 -50
0 2 12 25 -57
0 2 12 26 -58
0 2 12 27 -47
0 2 12 28 -46
0 2 12 29 -46
0 2 12 30 -48
0 2 12 31 -49
0 2 12 32 -46
0 2 12 33 -45
0 2 12 34 -52
0 2 12 35 -47
0 2 12 36 -50
0 2 12 37 -59
0 2 12 38 -50
0 2 12 39 -50
0 2 12 40 -49
0 2 13 1 -49
0 2 13 2 -50
0 2 13 3 -56
0 2 13 4 -47
0 2 13 5 -56
0 2 13 6 -50
0 2 13 7 -57
0 2 13 8 -47
0 2 13 9 -79
0 2 13 10 -60
0 2 13 11 -54
0 2 13 12 -53
0 2 13 13 -53
0 2 13 14 -49
0 2 13 15 -52
0 2 13 16 -54
0 2 13 17 -66
0 2 13 18 -51
0 2 13 19 -59
0 2 13 20 -56
0 2 13 21 -51
0 2 13 22 -55
0 2 13 23 -53
0 2 13 24 -54
0 2 13 25 -53
0 2 13 26 -55
0 2 13 27 -54
0 2 13 28 -49
0 2 13 29 -75
0 2 13 30 -47
0 2 13 31 -57
0 2 13 32 -60
0 2 13 33 -51
0 2 13 34 -54
0 2 13 35 -50
0 2 13 36 -46
0 2 13 37 -53
0 2 13 38 -57
0 2 13 39 -54
0 2 13 40 -53
0 2 14 1 -52
0 2 14 2 -50
0 2 14 3 -62
0 2 14 4 -55
0 2 14 5 -57
0 2 14 6 -56
0 2 14 7 -58
0 2 14 8 -50
0 2 14 9 -54
0 2 14 10 -51
0 2 14 11 -57
0 2 14 12 -56
0 2 14 13 -47
0 2 14 14 -55
0 2 14 15 -52
0 2 14 16 -49
0 2 14 17 -52
0 2 14 18 -49
0 2 14 19 -59
0 2 14 20 -52
0 2 14 21 -53
0 2 14 22 -52
0 2 14 23 -51
0 2 14 24 -49
0 2 14 25 -49
0 2 14 26 -55
0 2 14 27 -53
0 2 14 28 -48
0 2 14 29 -52
0 2 14 30 -52
0 2 14 31 -60
0 2 14 32 -58
0 2 14 33 -60
0 2 14 34 -52
0 2 14 35 -47
0 2 14 36 -46
0 2 14 37 -53
0 2 14 38 -60
0 2 14 39 -51
0 2 14 40 -64
0 2 15 1 -55
0 2 15 2 -52
0 2 15 3 -56
0 2 15 4 -56
0 2 15 5 -56
0 2 15 6 -55
0 2 15 7 -52
0 2 15 8 -50
0 2 15 9 -47
0 2 15 10 -48
0 2 15 11 -52
0 2 15 12 -52
0 2 15 13 -49
0 2 15 14 -56
0 2 15 15 -54
0 2 15 16 -57
0 2 15 17 -52
0 2 15 18 -61
0 2 15 19 -54
0 2 15 20 -50
0 2 15 21 -59
0 2 15 22 -52
0 2 15 23 -47
0 2 15 24 -46
0 2 15 25 -60
0 2 15 26 -47
0 2 15 27 -48
0 2 15 28 -57
0 2 15 29 -63
0 2 15 30 -55
0 2 15 31 -62
0 2 15 32 -51
0 2 15 33 -61
0 2 15 34 -56
0 2 15 35 -44
0 2 15 36 -56
0 2 15 37 -48
0 2 15 38 -47
0 2 15 39 -52
0 2 15 40 -54
0 2 16 1 -50
0 2 16 2 -53
0 2 16 3 -48
0 2 16 4 -56
0 2 16 5 -47
0 2 16 6 -49
0 2 16 7 -49
0 2 16 8 -49
0 2 16 9 -48
0 2 16 10 -53
0 2 16 11 -45
0 2 16 12 -53
0 2 16 13 -57
0 2 16 14 -55
0 2 16 15 -51
0 2 16 16 -46
0 2 16 17 -50
0 2 16 18 -52
0 2 16 19 -53
0 2 16 20 -52
0 2 16 21 -69
0 2 16 22 -50
0 2 16 23 -48
0 2 16 24 -56
0 2 16 25 -52
0 2 16 26 -46
0 2 16 27 -51
0 2 16 28 -54
0 2 16 29 -52
0 2 16 30 -50
0 2 16 31 -54
0 2 16 32 -54
0 2 16 33 -57
0 2 16 34 -47
0 2 16 35 -51
0 2 16 36 -48
0 2 16 37 -60
0 2 16 38 -59
0 2 16 39 -55
0 2 16 40 -61
0 2 17 1 -56
0 2 17 2 -51
0 2 17 3 -53
0 2 17 4 -62
0 2 17 5 -57
0 2 17 6 -62
0 2 17 7 -51
0 2 17 8 -54
0 2 17 9 -51
0 2 17 10 -54
0 2 17 11 -58
0 2 17 12 -56
0 2 17 13 -59
0 2 17 14 -59
0 2 17 15 -51
0 2 17 16 -46
0 2 17 17 -52
0 2 17 18 -53
0 2 17 19 -50
0 2 17 20 -62
0 2 17 21 -69
0 2 17 22 -62
0 2 17 23 -63
0 2 17 24 -55
0 2 17 25 -58
0 2 17 26 -48
0 2 17 27 -57
0 2 17 28 -59
0 2 17 29 -51
0 2 17 30 -48
0 2 17 31 -54
0 2 17 32 -51
0 2 17 33 -47
0 2 17 34 -50
0 2 17 35 -54
0 2 17 36 -47
0 2 17 37 -62
0 2 17 38 -51
0 2 17 39 -51
0 2 17 40 -54
0 2 18 1 -54
0 2 18 2 -59
0 2 18 3 -57
0 2 18 4 -50
0 2 18 5 -48
0 2 18 6 -57
0 2 18 7 -62
0 2 18 8 -47
0 2 18 9 -54
0 2 18 10 -61
0 2 18 11 -59
0 2 18 12 -53
0 2 18 13 -48
0 2 18 14 -65
0 2 18 15 -50
0 2 18 16 -50
0 2 18 17 -54
0 2 18 18 -68
0 2 18 19 -66
0 2 18 20 -52
0 2 18 21 -55
0 2 18 22 -58
0 2 18 23 -53
0 2 18 24 -47
0 2 18 25 -56
0 2 18 26 -48
0 2 18 27 -56
0 2 18 28 -61
0 2 18 29 -54
0 2 18 30 -51
0 2 18 31 -44
0 2 18 32 -58
0 2 18 33 -57
0 2 18 34 -63
0 2 18 35 -46
0 2 18 36 -49
0 2 18 37 -52
0 2 18 38 -52
0 2 18 39 -47
0 2 18 40 -49
0 2 19 1 -51
0 2 19 2 -54
0 2 19 3 -50
0 2 19 4 -54
0 2 19 5 -50
0 2 19 6 -53
0 2 19 7 -55
0 2 19 8 -54
0 2 19 9 -60
0 2 19 10 -51
0 2 19 11 -58
0 2 19 12 -55
0 2 19 13 -53
0 2 19 14 -47
0 2 19 15 -60
0 2 19 16 -60
0 2 19 17 -54
0 2 19 18 -62
0 2 19 19 -59
0 2 19 20 -57
0 2 19 21 -52
0 2 19 22 -64
0 2 19 23 -49
0 2 19 24 -49
0 2 19 25 -76
0 2 19 26 -50
0 2 19 27 -47
0 2 19 28 -72
0 2 19 29 -56
0 2 19 30 -54
0 2 19 31 -59
0 2 19 32 -47
0 2 19 33 -52
0 2 19 34 -59
0 2 19 35 -65
0 2 19 36 -52
0 2 19 37 -57
0 2 19 38 -49
0 2 19 39 -53
0 2 19 40 -60
0 2 20 1 -54
0 2 20 2 -56
0 2 20 3 -49
0 2 20 4 -48
0 2 20 5 -67
0 2 20 6 -53
0 2 20 7 -55
0 2 20 8 -54
0 2 20 9 -48
0 2 20 10 -58
0 2 20 11 -50
0 2 20 12 -54
0 2 20 13 -52
0 2 20 14 -52
0 2 20 15 -47
0 2 20 16 -54
0 2 20 17 -59
0 2 20 18 -68
0 2 20 19 -49
0 2 20 20 -50
0 2 20 21 -59
0 2 20 22 -53
0 2 20 23 -54
0 2 20 24 -50
0 2 20 25 -54
0 2 20 26 -47
0 2 20 27 -69
0 2 20 28 -49
0 2 20 29 -46
0 2 20 30 -48
0 2 20 31 -51
0 2 20 32 -57
0 2 20 33 -46
0 2 20 34 -58
0 2 20 35 -60
0 2 20 36 -57
0 2 20 37 -47
0 2 20 38 -57
0 2 20 39 -55
0 2 20 40 -63
0 2 21 1 -57
0 2 21 2 -53
0 2 21 3 -53
0 2 21 4 -56
0 2 21 5 -50
0 2 21 6 -53
0 2 21 7 -62
0 2 21 8 -56
0 2 21 9 -48
0 2 21 10 -52
0 2 21 11 -56
0 2 21 12 -48
0 2 21 13 -52
0 2 21 14 -54
0 2 21 15 -48
0 2 21 16 -52
0 2 21 17 -47
0 2 21 18 -51
0 2 21 19 -52
0 2 21 20 -58
0 2 21 21 -58
0 2 21 22 -52
0 2 21 23 -56
0 2 21 24 -52
0 2 21 25 -52
0 2 21 26 -49
0 2 21 27 -60
0 2 21 28 -51
0 2 21 29 -48
0 2 21 30 -53
0 2 21 31 -66
0 2 21 32 -64
0 2 21 33 -46
0 2 21 34 -55
0 2 21 35 -49
0 2 21 36 -50
0 2 21 37 -53
0 2 21 38 -49
0 2 21 39 -49
0 2 21 40 -50
0 2 22 1 -59
0 2 22 2 -51
0 2 22 3 -61
0 2 22 4 -56
0 2 22 5 -73
0 2 22 6 -51
0 2 22 7 -51
0 2 22 8 -50
0 2 22 9 -47
0 2 22 10 -51
0 2 22 11 -58
0 2 22 12 -60
0 2 22 13 -64
0 2 22 14 -49
0 2 22 15 -51
0 2 22 16 -59
0 2 22 17 -61
0 2 22 18 -53
0 2 22 19 -52
0 2 22 20 -53
0 2 22 21 -47
0 2 22 22 -53
0 2 22 23 -55
0 2 22 24 -47
0 2 22 25 -58
0 2 22 26 -48
0 2 22 27 -46
0 2 22 28 -53
0 2 22 29 -60
0 2 22 30 -59
0 2 22 31 -53
0 2 22 32 -51
0 2 22 33 -56
0 2 22 34 -51
0 2 22 35 -52
0 2 22 36 -59
0 2 22 37 -52
0 2 22 38 -51
0 2 22 39 -47
0 2 22 40 -51
0 2 23 1 -52
0 2 23 2 -50
0 2 23 3 -51
0 2 23 4 -53
0 2 23 5 -53
0 2 23 6 -54
0 2 23 7 -55
0 2 23 8 -47
0 2 23 9 -51
0 2 23 10 -58
0 2 23 11 -47
0 2 23 12 -46
0 2 23 13 -52
0 2 23 14 -55
0 2 23 15 -52
0 2 23 16 -57
0 2 23 17 -49
0 2 23 18 -51
0 2 23 19 -50
0 2 23 20 -47
0 2 23 21 -54
0 2 23 22 -54
0 2 23 23 -51
0 2 23 24 -49
0 2 23 25 -53
0 2 23 26 -55
0 2 23 27 -58
0 2 23 28 -51
0 2 23 29 -49
0 2 23 30 -54
0 2 23 31 -52
0 2 23 32 -58
0 2 23 33 -55
0 2 23 34 -55
0 2 23 35 -47
0 2 23 36 -56
0 2 23 37 -57
0 2 23 38 -61
0 2 23 39 -48
0 2 23 40 -50
0 2 24 1 -53
0 2 24 2 -66
0 2 24 3 -52
0 2 24 4 -51
0 2 24 5 -54
0 2 24 6 -47
0 2 24 7 -63
0 2 24 8 -59
0 2 24 9 -59
0 2 24 10 -56
0 2 24 11 -56
0 2 24 12 -66
0 2 24 13 -52
0 2 24 14 -50
