"expNo" "verdict" "rank" "JP1" "JP2" "JP3" "JP4" "JP5" "JP6" "JP7" "JP8" "JP9" "JP10"
44 0 2 1 0.686335403726708 0.332265248400221 0.311012713011128 0.265464993206244 0.265464993206244 0.234233817534921 0.180409876484343 0.0902049382421717 0.0902049382421717
45 0 1 1 0.688372093023256 0.342580201815617 0.319776875688571 0.274698197177407 0.274698197177407 0.242285430548804 0.1895996144638 0.0950969853109967 0.0950969853109967
45 1 2 1 0.688372093023256 0.342580201815617 0.319776875688571 0.274698197177407 0.274698197177407 0.242285430548804 0.1895996144638 0.0945026291528031 0.0945026291528031
46 0 1 1 0.686821705426357 0.339672320879598 0.31668697585767 0.268746007168882 0.268746007168882 0.237082265528955 0.182765147057623 0.0915255822510791 0.0915255822510791
46 1 2 1 0.686821705426357 0.339672320879598 0.31668697585767 0.268746007168882 0.268746007168882 0.237082265528955 0.182765147057623 0.0912395648065443 0.0912395648065443
47 1 1 1 0.691107644305772 0.339696977709617 0.318370710050717 0.272551779969234 0.272551779969234 0.240344774950713 0.185251416795822 0.0926257083979108 0.0926257083979108
47 0 2 1 0.691107644305772 0.339696977709617 0.318370710050717 0.272551779969234 0.272551779969234 0.240344774950713 0.185251416795822 0.0926257083979108 0.0926257083979108
48 1 1 1 0.69242658423493 0.328696548171046 0.308248862437233 0.261695148608735 0.261695148608735 0.230771054238427 0.178724816474016 0.0893624082370079 0.0893624082370079
48 0 2 1 0.69242658423493 0.328696548171046 0.308248862437233 0.261695148608735 0.261695148608735 0.230771054238427 0.178724816474016 0.0893624082370079 0.0893624082370079
49 1 1 1 0.690402476780186 0.337271654047288 0.316316906310622 0.273075962208724 0.273075962208724 0.240403653584047 0.184183000019915 0.0920915000099577 0.0920915000099577
49 0 2 1 0.690402476780186 0.337271654047288 0.316316906310622 0.273075962208724 0.273075962208724 0.240403653584047 0.184183000019915 0.0920915000099577 0.0920915000099577
50 0 1 1 0.689922480620155 0.336521821586895 0.314017251869575 0.266271938719815 0.266271938719815 0.234807012430916 0.17912420662587 0.0898428622574895 0.0898428622574895
50 1 2 1 0.689922480620155 0.336521821586895 0.314017251869575 0.266271938719815 0.266271938719815 0.234807012430916 0.17912420662587 0.0892813443683803 0.0892813443683803
51 1 1 1 0.686728395061728 0.340702459565508 0.318559315960069 0.270963915202721 0.270963915202721 0.238802026157888 0.18382359358199 0.0919117967909951 0.0919117967909951
51 0 2 1 0.686728395061728 0.340702459565508 0.318559315960069 0.270963915202721 0.270963915202721 0.238802026157888 0.18382359358199 0.0919117967909951 0.0919117967909951
52 1 1 1 0.689922480620155 0.339132402148156 0.315361439380762 0.27470014434816 0.27470014434816 0.242334884336595 0.193034664313964 0.0965173321569819 0.0965173321569819
52 0 2 1 0.689922480620155 0.339132402148156 0.315361439380762 0.27470014434816 0.27470014434816 0.242334884336595 0.193034664313964 0.0965173321569819 0.0965173321569819
53 0 1 1 0.685496183206107 0.338516633682028 0.316830411836773 0.275029697831322 0.275029697831322 0.242625609721593 0.185124742677747 0.0927072263800927 0.0927072263800927
53 1 2 1 0.685496183206107 0.338516633682028 0.316830411836773 0.275029697831322 0.275029697831322 0.242625609721593 0.185124742677747 0.0924175162976548 0.0924175162976548
54 0 1 1 0.690031152647975 0.342872622433776 0.318866320102036 0.278466967328927 0.278466967328927 0.245560974143825 0.192740878565879 0.0965207831819771 0.0965207831819771
54 1 2 1 0.690031152647975 0.342872622433776 0.318866320102036 0.278466967328927 0.278466967328927 0.245560974143825 0.192740878565879 0.0962200953839024 0.0962200953839024
