"expNo" "verdict" "rank" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10"
74 1 1 1 0.690402476780186 0.499219968798752 0.9375 0.886191198786039 1 0.882005899705015 0.748633879781421 0.5 1
74 0 2 1 0.690402476780186 0.499219968798752 0.9375 0.886191198786039 1 0.882005899705015 0.748633879781421 0.5 1
75 1 1 1 0.691588785046729 0.486322188449848 0.934947049924357 0.876506024096386 1 0.882352941176471 0.75414364640884 0.5 1
75 0 2 1 0.691588785046729 0.486322188449848 0.934947049924357 0.876506024096386 1 0.882352941176471 0.75414364640884 0.5 1
76 0 1 1 0.691107644305772 0.49306625577812 0.9328125 0.866566716641679 1 0.882697947214076 0.751696065128901 0.502347417840376 1
76 1 2 1 0.691107644305772 0.49306625577812 0.9328125 0.866566716641679 1 0.882697947214076 0.751696065128901 0.497652582159624 1
77 1 1 1 0.702492211838006 0.491551459293395 0.9296875 0.870676691729323 1 0.881656804733728 0.733149931224209 0.500782472613459 1
77 0 2 1 0.702492211838006 0.491551459293395 0.9296875 0.870676691729323 1 0.881656804733728 0.733149931224209 0.499217527386541 1
78 1 1 1 0.686915887850467 0.483383685800604 0.935975609756098 0.872754491017964 1 0.882179675994109 0.739368998628258 0.5 1
78 0 2 1 0.686915887850467 0.483383685800604 0.935975609756098 0.872754491017964 1 0.882179675994109 0.739368998628258 0.5 1
79 1 1 1 0.692546583850932 0.499219968798752 0.930015552099533 0.87202380952381 1 0.882352941176471 0.744769874476987 0.5 1
79 0 2 1 0.692546583850932 0.499219968798752 0.930015552099533 0.87202380952381 1 0.882352941176471 0.744769874476987 0.5 1
80 1 1 1 0.691588785046729 0.493827160493827 0.934650455927052 0.876876876876877 1 0.881656804733728 0.750677506775068 0.5 1
80 0 2 1 0.691588785046729 0.493827160493827 0.934650455927052 0.876876876876877 1 0.881656804733728 0.750677506775068 0.5 1
81 1 1 1 0.695987654320988 0.484567901234568 0.9375 0.859467455621302 1 0.881831610044313 0.757952973720609 0.5 1
81 0 2 1 0.695987654320988 0.484567901234568 0.9375 0.859467455621302 1 0.881831610044313 0.757952973720609 0.5 1
82 0 1 1 0.691107644305772 0.48698315467075 0.936746987951807 0.858841010401189 1 0.882005899705015 0.754558204768583 0.500780031201248 1
82 1 2 1 0.691107644305772 0.48698315467075 0.936746987951807 0.858841010401189 1 0.882005899705015 0.754558204768583 0.499219968798752 1
83 0 1 1 0.6953125 0.499219968798752 0.940740740740741 0.870870870870871 1 0.882352941176471 0.751753155680224 0.500782472613459 1
83 1 2 1 0.6953125 0.499219968798752 0.940740740740741 0.870870870870871 1 0.882352941176471 0.751753155680224 0.499217527386541 1
84 1 1 1 0.691588785046729 0.499222395023328 0.937406855439642 0.866366366366366 1 0.882005899705015 0.761111111111111 0.5 1
84 0 2 1 0.691588785046729 0.499222395023328 0.937406855439642 0.866366366366366 1 0.882005899705015 0.761111111111111 0.5 1
